ID condition sub type order session sound_dist concept_dist answer RT score
A23EX3RJJL65IS sound 0 real 3 1 3 3 1 5998 1.0
A23EX3RJJL65IS sound 0 real 2 1 1 2 0 2802 1.0
A23EX3RJJL65IS sound 0 real 4 1 4 4 1 2970 1.0
A23EX3RJJL65IS sound 0 real 1 1 2 1 1 2562 1.0
A23EX3RJJL65IS sound 0 real 2 2 2 2 0 2959 1.0
A23EX3RJJL65IS sound 0 real 3 2 4 3 1 2409 1.0
A23EX3RJJL65IS sound 0 real 1 2 1 1 0 2979 1.0
A23EX3RJJL65IS sound 0 real 4 2 3 4 1 2475 1.0
A1H6AZSS5DQ0KD sound 0 pre 3 0 NA NA 0 6682 1.0
A1H6AZSS5DQ0KD sound 0 pre 2 0 NA NA 1 5762 1.0
A1H6AZSS5DQ0KD sound 0 pre 4 0 NA NA 0 4210 1.0
A1H6AZSS5DQ0KD sound 0 pre 1 0 NA NA 1 2762 1.0
A1H6AZSS5DQ0KD sound 0 real 3 1 3 3 1 3464 1.0
A1H6AZSS5DQ0KD sound 0 real 4 1 1 4 0 3003 1.0
A1H6AZSS5DQ0KD sound 0 real 1 1 4 1 0 11273 1.0
A1H6AZSS5DQ0KD sound 0 real 2 1 2 2 0 2882 1.0
A1H6AZSS5DQ0KD sound 0 real 3 2 1 3 0 2628 1.0
A1H6AZSS5DQ0KD sound 0 real 4 2 2 4 0 2699 1.0
A1H6AZSS5DQ0KD sound 0 real 1 2 4 1 1 14138 1.0
A1H6AZSS5DQ0KD sound 0 real 2 2 3 2 1 2746 1.0
A28LE67Q1YR9TV sound 0 pre 1 0 NA NA 1 2982 0.75
A28LE67Q1YR9TV sound 0 pre 3 0 NA NA 1 2782 0.75
