ID condition type session sound_dist concept_dist answer RT
A1SLJKNSNHOJRN sound real 2 1 3 0 2691
AZX848Q53S3XY sound pre 0 NA NA 0 3506
AZX848Q53S3XY sound pre 0 NA NA 0 4025
AZX848Q53S3XY sound pre 0 NA NA 1 2274
AZX848Q53S3XY sound pre 0 NA NA 1 2569
AZX848Q53S3XY sound real 1 3 3 1 3148
AZX848Q53S3XY sound real 1 4 1 0 2678
AZX848Q53S3XY sound real 1 1 2 0 2235
AZX848Q53S3XY sound real 1 2 4 0 2245
AZX848Q53S3XY sound real 2 4 3 1 2707
AZX848Q53S3XY sound real 2 2 4 1 2567
AZX848Q53S3XY sound real 2 3 1 1 2540
AZX848Q53S3XY sound real 2 1 2 0 2172
ATHS9CW2FLYUY concept pre 0 NA NA 1 5936
ATHS9CW2FLYUY concept pre 0 NA NA 0 2349
ATHS9CW2FLYUY concept pre 0 NA NA 1 2060
ATHS9CW2FLYUY concept pre 0 NA NA 0 2200
ATHS9CW2FLYUY concept real 1 4 3 0 2041
ATHS9CW2FLYUY concept real 1 1 4 1 1476
ATHS9CW2FLYUY concept real 1 2 1 1 1809
ATHS9CW2FLYUY concept real 1 3 2 0 1753
ATHS9CW2FLYUY concept real 2 1 3 1 1707
ATHS9CW2FLYUY concept real 2 4 2 1 1741
ATHS9CW2FLYUY concept real 2 2 1 0 1707
ATHS9CW2FLYUY concept real 2 3 4 1 1357
AY934MXPTFOO2 sound pre 0 NA NA 1 3810
AY934MXPTFOO2 sound pre 0 NA NA 0 2635
AY934MXPTFOO2 sound pre 0 NA NA 0 1298
AY934MXPTFOO2 sound pre 0 NA NA 1 1678
AY934MXPTFOO2 sound real 1 3 4 1 3647
AY934MXPTFOO2 sound real 1 2 1 1 4700
AY934MXPTFOO2 sound real 1 1 2 0 2272
AY934MXPTFOO2 sound real 1 4 3 1 2257
AY934MXPTFOO2 sound real 2 3 1 1 2333
AY934MXPTFOO2 sound real 2 1 3 0 4331
AY934MXPTFOO2 sound real 2 4 4 1 2122
AY934MXPTFOO2 sound real 2 2 2 1 2134
AFQKLIYNCVZTL joint pre 0 NA NA 1 6425
AFQKLIYNCVZTL joint pre 0 NA NA 0 3225
AFQKLIYNCVZTL joint pre 0 NA NA 0 5361
AFQKLIYNCVZTL joint pre 0 NA NA 1 3678
AFQKLIYNCVZTL joint real 1 2 3 0 4566
AFQKLIYNCVZTL joint real 1 3 2 0 3661
AFQKLIYNCVZTL joint real 1 4 4 1 3906
AFQKLIYNCVZTL joint real 1 1 1 0 3080
AFQKLIYNCVZTL joint real 2 4 3 0 3094
AFQKLIYNCVZTL joint real 2 3 2 0 3184
AFQKLIYNCVZTL joint real 2 2 1 1 4117
AFQKLIYNCVZTL joint real 2 1 4 0 3026
A3G0FP931AVTJ5 concept pre 0 NA NA 1 5638
A3G0FP931AVTJ5 concept pre 0 NA NA 0 3296
A3G0FP931AVTJ5 concept pre 0 NA NA 0 2614
A3G0FP931AVTJ5 concept pre 0 NA NA 1 2202
A3G0FP931AVTJ5 concept real 1 2 1 0 4278
A3G0FP931AVTJ5 concept real 1 1 4 1 2986
A3G0FP931AVTJ5 concept real 1 4 2 1 2170
A3G0FP931AVTJ5 concept real 1 3 3 1 1929
A3G0FP931AVTJ5 concept real 2 4 2 1 3752
A3G0FP931AVTJ5 concept real 2 1 4 1 1859
A3G0FP931AVTJ5 concept real 2 3 3 1 1884
A3G0FP931AVTJ5 concept real 2 2 1 0 1867
A2MCRVU8I9VNHG sound pre 0 NA NA 1 3686
A2MCRVU8I9VNHG sound pre 0 NA NA 0 3040
A2MCRVU8I9VNHG sound pre 0 NA NA 0 2852
A2MCRVU8I9VNHG sound pre 0 NA NA 1 2754
A2MCRVU8I9VNHG sound real 1 3 3 1 3801
A2MCRVU8I9VNHG sound real 1 1 2 0 2951
A2MCRVU8I9VNHG sound real 1 4 1 1 2643
A2MCRVU8I9VNHG sound real 1 2 4 0 3079
A2MCRVU8I9VNHG sound real 2 2 2 0 2757
A2MCRVU8I9VNHG sound real 2 3 4 1 2637
A2MCRVU8I9VNHG sound real 2 4 1 1 2850
A2MCRVU8I9VNHG sound real 2 1 3 0 2594
A3QYJNMHPJ6S2S sound pre 0 NA NA 1 6993
